cla_age_5,sexe,dept,prev,Niveau prioritaire,o3
40-44,2,77,0.033,3,35.38904109589041
40-44,2,94,0.029,3,31.40821917808219
40-44,9,77,0.028,3,35.38904109589041
40-44,9,78,0.019,3,35.106849315068494
40-44,9,91,0.026,3,34.536986301369865
40-44,9,95,0.031,3,35.342465753424655
45-49,1,93,0.075,3,32.013698630136986
45-49,2,75,0.047,3,29.65205479452055
45-49,2,77,0.046,3,35.38904109589041
45-49,2,93,0.041,3,32.013698630136986
45-49,2,94,0.038,3,31.40821917808219
45-49,9,75,0.057,3,29.65205479452055
45-49,9,77,0.058,3,35.38904109589041
45-49,9,92,0.039,3,31.04383561643836
50-54,1,75,0.127,3,29.65205479452055
50-54,1,92,0.111,3,31.04383561643836
50-54,1,94,0.186,3,31.40821917808219
50-54,2,75,0.099,3,29.65205479452055
50-54,2,91,0.069,3,34.536986301369865
50-54,2,95,0.078,3,35.342465753424655
50-54,9,75,0.113,3,29.65205479452055
55-59,1,77,0.254,3,35.38904109589041
55-59,1,95,0.252,3,35.342465753424655
55-59,2,77,0.227,3,35.38904109589041
55-59,2,78,0.144,3,35.106849315068494
55-59,2,94,0.189,3,31.40821917808219
55-59,2,95,0.162,3,35.342465753424655
60-64,1,77,0.49,3,35.38904109589041
60-64,1,91,0.42,3,34.536986301369865
60-64,1,93,0.538,3,32.013698630136986
60-64,2,75,0.27,3,29.65205479452055
60-64,2,92,0.264,3,31.04383561643836
60-64,2,93,0.192,3,32.013698630136986
60-64,2,95,0.254,3,35.342465753424655
60-64,9,75,0.348,3,29.65205479452055
60-64,9,77,0.346,3,35.38904109589041
60-64,9,95,0.329,3,35.342465753424655
65-69,1,75,0.602,3,29.65205479452055
65-69,1,77,0.653,3,35.38904109589041
65-69,1,94,0.632,3,31.40821917808219
65-69,2,77,0.292,3,35.38904109589041
65-69,2,94,0.329,3,31.40821917808219
65-69,2,95,0.273,3,35.342465753424655
65-69,9,75,0.49,3,29.65205479452055
65-69,9,78,0.429,3,35.106849315068494
65-69,9,91,0.459,3,34.536986301369865
65-69,9,92,0.445,3,31.04383561643836
65-69,9,93,0.506,3,32.013698630136986
65-69,9,94,0.469,3,31.40821917808219
65-69,9,95,0.454,3,35.342465753424655
70-74,1,77,0.765,3,35.38904109589041
70-74,1,92,0.73,3,31.04383561643836
70-74,2,92,0.379,3,31.04383561643836
70-74,2,95,0.294,3,35.342465753424655
70-74,9,75,0.554,3,29.65205479452055
70-74,9,77,0.506,3,35.38904109589041
70-74,9,78,0.462,3,35.106849315068494
70-74,9,91,0.455,3,34.536986301369865
75-79,1,75,0.753,3,29.65205479452055
75-79,1,78,0.676,3,35.106849315068494
75-79,1,91,0.693,3,34.536986301369865
75-79,2,77,0.31,3,35.38904109589041
75-79,2,91,0.326,3,34.536986301369865
75-79,2,92,0.348,3,31.04383561643836
75-79,2,94,0.291,3,31.40821917808219
75-79,9,75,0.616,3,29.65205479452055
75-79,9,77,0.549,3,35.38904109589041
80-84,1,75,0.579,3,29.65205479452055
80-84,1,92,0.641,3,31.04383561643836
80-84,2,75,0.344,3,29.65205479452055
80-84,2,77,0.297,3,35.38904109589041
80-84,2,91,0.293,3,34.536986301369865
80-84,2,93,0.265,3,32.013698630136986
80-84,2,95,0.275,3,35.342465753424655
80-84,9,78,0.501,3,35.106849315068494
80-84,9,91,0.493,3,34.536986301369865
80-84,9,92,0.487,3,31.04383561643836
80-84,9,95,0.523,3,35.342465753424655
85-89,1,77,0.477,3,35.38904109589041
85-89,1,78,0.496,3,35.106849315068494
85-89,1,93,0.419,3,32.013698630136986
85-89,2,75,0.317,3,29.65205479452055
85-89,2,91,0.244,3,34.536986301369865
85-89,9,77,0.254,3,35.38904109589041
85-89,9,78,0.33,3,35.106849315068494
85-89,9,91,0.346,3,34.536986301369865
85-89,9,95,0.248,3,35.342465753424655
90-94,1,75,0.405,3,29.65205479452055
90-94,1,77,0.426,3,35.38904109589041
90-94,1,91,0.412,3,34.536986301369865
90-94,1,92,0.368,3,31.04383561643836
90-94,9,75,0.253,3,29.65205479452055
90-94,9,92,0.259,3,31.04383561643836
90-94,9,93,0.245,3,32.013698630136986
95et+,9,75,0.144,3,29.65205479452055
tsage,1,92,0.139,3,31.04383561643836
tsage,2,75,0.111,3,29.65205479452055
tsage,9,91,0.111,3,34.536986301369865
tsage,9,92,0.114,3,31.04383561643836
40-44,9,77,0.014,3,35.38904109589041
40-44,9,78,0.014,3,35.106849315068494
45-49,1,78,0.023,3,35.106849315068494
45-49,9,91,0.013,3,34.536986301369865
50-54,1,78,0.038,3,35.106849315068494
50-54,1,95,0.041,3,35.342465753424655
50-54,9,94,0.07,3,31.40821917808219
55-59,1,77,0.111,3,35.38904109589041
55-59,2,78,0.081,3,35.106849315068494
60-64,1,75,0.197,3,29.65205479452055
60-64,1,92,0.195,3,31.04383561643836
60-64,2,77,0.17,3,35.38904109589041
60-64,2,78,0.14,3,35.106849315068494
60-64,2,92,0.153,3,31.04383561643836
60-64,2,93,0.142,3,32.013698630136986
60-64,2,94,0.127,3,31.40821917808219
60-64,9,92,0.172,3,31.04383561643836
60-64,9,94,0.169,3,31.40821917808219
65-69,1,75,0.322,3,29.65205479452055
65-69,1,92,0.382,3,31.04383561643836
65-69,1,94,0.316,3,31.40821917808219
65-69,2,75,0.206,3,29.65205479452055
65-69,2,78,0.187,3,35.106849315068494
65-69,9,77,0.288,3,35.38904109589041
65-69,9,78,0.245,3,35.106849315068494
65-69,9,91,0.236,3,34.536986301369865
65-69,9,92,0.271,3,31.04383561643836
70-74,1,77,0.487,3,35.38904109589041
70-74,1,93,0.431,3,32.013698630136986
